"","OBJECTID","CLASS_ID","Flight","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"180",180,0,"F1_","F1_180",0.277074396718163,"F3_317",1,285258.119,4426021.0942,TRUE
"181",181,0,"F1_","F1_181",0.419540523276297,"F3_155",1,285260.4055,4426021.0729,TRUE
"182",182,0,"F1_","F1_182",0.150778415505754,"F3_373",1,285253.3669,4426021.1421,TRUE
"183",183,0,"F1_","F1_183",0.123968302164519,"F3_374",1,285251.4418,4426020.6756,TRUE
"184",184,0,"F1_","F1_184",0.128178311220197,"F3_60",1,285245.4648,4426033.701,TRUE
"185",185,0,"F1_","F1_185",0.227240332775259,"F3_157",1,285246.4268,4426027.2836,TRUE
"186",186,0,"F1_","F1_186",0.139109728745482,"F3_158",1,285247.959,4426027.2141,TRUE
"187",187,0,"F1_","F1_187",0.175340558823568,"F3_161",1,285245.7291,4426026.6854,TRUE
"188",188,0,"F1_","F1_188",0.22681699951544,"F3_162",1,285248.9291,4426026.6322,TRUE
"189",189,0,"F1_","F1_189",0.227371816177676,"F3_160",1,285247.0254,4426026.501,TRUE
"190",190,0,"F1_","F1_190",0.107670917874791,"F3_163",1,285246.3554,4426026.0701,TRUE
"191",191,0,"F1_","F1_191",0.0996531938973917,"F3_182",1,285242.069,4426025.7273,TRUE
"192",192,0,"F1_","F1_192",0.108198155783572,"F3_183",1,285240.8012,4426025.4826,TRUE
"193",193,0,"F1_","F1_193",0.235394157993746,"F3_164",1,285249.6221,4426025.6576,TRUE
"194",194,0,"F1_","F1_194",0.174659026479427,"F3_184",1,285244.0933,4426025.4554,TRUE
"195",195,0,"F1_","F1_195",0.13710327605782,"F3_166",1,285246.8111,4426025.116,TRUE
"196",196,0,"F1_","F1_196",0.139229032325207,"F3_186",1,285245.2348,4426024.9749,TRUE
"197",197,0,"F1_","F1_197",0.275205802844427,"F3_187",1,285241.4669,4426025.0404,TRUE
"198",198,0,"F1_","F1_198",0.0253940191970373,"F3_167",1,285249.2493,4426024.7948,TRUE
"199",199,0,"F1_","F1_199",0.169056249100009,"F3_188",1,285242.7723,4426024.6483,TRUE
"200",200,0,"F1_","F1_200",0.219730051745222,"F3_189",1,285243.1833,4426024.0944,TRUE
"201",201,0,"F1_","F1_201",0.16825996231738,"F3_169",1,285246.7538,4426023.7916,TRUE
"202",202,0,"F1_","F1_202",0.147711400433242,"F3_171",1,285249.1077,4426023.6101,TRUE
"203",203,0,"F1_","F1_203",0.24287555168537,"F3_173",1,285247.6982,4426023.0655,TRUE
"204",204,0,"F1_","F1_204",0.108128262166429,"F3_192",1,285243.6648,4426022.9276,TRUE
"205",205,0,"F1_","F1_205",0.0721067114085819,"F3_191",1,285241.79,4426023.0641,TRUE
"206",206,0,"F1_","F1_206",0.156525034982452,"F3_193",1,285242.7556,4426022.3152,TRUE
"207",207,0,"F1_","F1_207",0.171393648930673,"F3_194",1,285240.8861,4426022.2043,TRUE
