"","OBJECTID","CLASS_ID","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"597",918,0,"F4_596",0.0390527588306998,"F1_273",1,285736.73,4425656.1013,TRUE
"598",919,0,"F4_597",0.0596309617603782,"F1_200",1,285739.1907,4425661.8005,TRUE
"599",920,0,"F4_598",0.314258179691323,"F1_198",1,285738.3175,4425662.8958,TRUE
"600",921,0,"F4_599",0.0849154960839881,"F1_201",1,285741.429,4425661.5782,TRUE
"601",922,0,"F4_600",0.103964637777207,"F1_192",1,285737.3604,4425669.488,TRUE
"602",923,0,"F4_601",0.0985274878809167,"F1_194",1,285738.9558,4425668.091,TRUE
"603",924,0,"F4_602",0.0925771801745163,"F1_193",1,285738.4796,4425668.845,TRUE
"604",925,0,"F4_603",0.109210774242812,"F1_315",1,285728.4154,4425650.7268,TRUE
"605",926,0,"F4_604",0.112779477762154,"F1_784",1,285729.5425,4425649.5521,TRUE
"606",927,0,"F4_605",0.163007846274263,"F1_779",1,285719.615,4425653.9031,TRUE
"607",928,0,"F4_606",0.170764852825491,"F1_319",1,285720.8532,4425653.9877,TRUE
"608",929,0,"F4_607",0.052875897231153,"F1_318",1,285721.7316,4425654.8556,TRUE
"609",930,0,"F4_608",0.0727488501567897,"F1_197",1,285736.6842,4425665.9445,TRUE
"610",931,0,"F4_609",0.0286617154411923,"F1_242",1,285714.9569,4425663.1105,TRUE
"611",932,0,"F4_610",0.263205180147738,"F1_761",1,285715.6183,4425662.1447,TRUE
"612",933,0,"F4_611",0.0711678885500359,"F1_244",1,285714.2822,4425662.5019,TRUE
"613",934,0,"F4_612",0.0808054558059448,"F1_245",1,285713.8985,4425661.351,TRUE
"614",935,0,"F4_613",0.0737601662600036,"F1_241",1,285713.0254,4425663.2428,TRUE
"615",936,0,"F4_614",1.4155497087597,"F1_768",0,285711.1468,4425665.4123,TRUE
"616",937,0,"F4_615",0.0127707596887042,"F1_768",1,285710.1414,4425664.4334,TRUE
"617",938,0,"F4_616",0.0203388842801363,"F1_766",1,285709.5197,4425661.2055,TRUE
"618",939,0,"F4_617",0.00938256616634869,"F1_246",1,285711.2395,4425660.7424,TRUE
"619",940,0,"F4_618",0.11986944812695,"F1_765",1,285712.5491,4425660.4514,TRUE
"620",941,0,"F4_619",1.2111248851092,"F1_764",0,285714.097,4425660.0281,TRUE
"621",942,0,"F4_620",0.113110653542538,"F1_764",1,285715.1156,4425659.2079,TRUE
"622",943,0,"F4_621",0.109295530626631,"F1_249",1,285714.8907,4425658.1231,TRUE
"623",944,0,"F4_622",0.139132961134411,"F1_763",1,285716.3856,4425659.1814,TRUE
"624",945,0,"F4_623",0.0667790690148194,"F1_251",1,285711.3056,4425657.6336,TRUE
"625",946,0,"F4_624",0.153041638689057,"F1_238",1,285717.1,4425664.4466,TRUE
"626",947,0,"F4_625",1.27151843697536,"F1_230",0,285718.3303,4425665.3065,TRUE
"627",948,0,"F4_626",0.062454374129395,"F1_254",1,285705.561,4425661.1864,TRUE
"628",949,0,"F4_627",0.161830857002096,"F1_775",1,285704.6825,4425660.3927,TRUE
"629",950,0,"F4_628",0.252330993346744,"F1_255",1,285705.5504,4425659.9482,TRUE
"630",951,0,"F4_629",0.0719636396098786,"F1_250",1,285708.6725,4425657.9267,TRUE
"631",952,0,"F4_630",0.0341096301882045,"F1_771",1,285705.8769,4425664.0185,TRUE
"632",953,0,"F4_631",0.182423812602713,"F1_773",1,285706.5277,4425662.8914,TRUE
"633",954,0,"F4_632",0.140745211915493,"F1_767",1,285708.0041,4425663.3994,TRUE
"634",955,0,"F4_633",0.119766566633308,"F1_772",1,285707.2818,4425664.4948,TRUE
"635",956,0,"F4_634",0.905367299879366,"F1_772",0,285707.7501,4425665.1536,TRUE
"636",957,0,"F4_635",0.0535014384712474,"F1_253",1,285706.2023,4425665.2726,TRUE
"637",958,0,"F4_636",0.0393453289529622,"F1_769",1,285704.9879,4425667.6936,TRUE
"638",959,0,"F4_637",0.0718027695851925,"F1_770",1,285705.7737,4425667.4952,TRUE
"639",960,0,"F4_638",0.103485854133702,"F1_724",1,285738.4762,4425674.9728,TRUE
"640",961,0,"F4_639",0.027235475185842,"F1_468",1,285755.8991,4425713.6166,TRUE
"641",962,0,"F4_640",0.208898011634464,"F1_105",1,285757.3411,4425715.5084,TRUE
"642",963,0,"F4_641",0.258335745733862,"F1_458",1,285761.4289,4425715.9846,TRUE
"643",964,0,"F4_642",0.209858833909185,"F1_479",1,285762.5931,4425715.0321,TRUE
"644",965,0,"F4_643",0.164579949181606,"F1_446",1,285763.3868,4425721.5012,TRUE
"645",966,0,"F4_644",0.245477405743596,"F1_451",1,285759.8678,4425720.8133,TRUE
"646",967,0,"F4_645",0.187038561940004,"F1_452",1,285759.7885,4425719.6359,TRUE
"647",968,0,"F4_646",0.171197448475072,"F1_480",1,285763.8763,4425714.5559,TRUE
"648",969,0,"F4_647",0.540121031775753,"F1_488",1,285765.5299,4425715.7068,TRUE
"649",970,0,"F4_648",0.246824368161975,"F1_149",1,285761.0056,4425709.2774,TRUE
"650",971,0,"F4_649",0.29167236339441,"F1_134",1,285769.7501,4425706.9557,TRUE
"651",972,0,"F4_650",0.145630163853143,"F1_517",1,285770.7026,4425702.8414,TRUE
"652",973,0,"F4_651",0.107141172229893,"F1_138",1,285769.975,4425703.6881,TRUE
"653",974,0,"F4_652",0.0506646123279125,"F1_507",1,285766.1914,4425699.5871,TRUE
"654",975,0,"F4_653",0.0886957259562602,"F1_141",1,285773.3881,4425701.0026,TRUE
"655",976,0,"F4_654",0.0635320814492133,"F1_513",1,285776.9203,4425704.5083,TRUE
"656",977,0,"F4_655",0.10791601392927,"F1_127",1,285778.5872,4425698.9917,TRUE
"657",978,0,"F4_656",0.12724450946237,"F1_520",0,285774.6711,4425697.7546,TRUE
