PCC,PCC.sd,Kappa,Kappa.sd,sensitivity,sensitivity.sd,specificity,specificity.sd,AUC,AUC.sd,TSS,nestimate,colony,flight,Method,Method1,Method2,Observed,Method3,PctError,DisttoColony,Angle,RMSE,NSSDA,Per_Cover,maxRMSE
1,0,1,0,1,0,1,0,1,0,1,73,bsouth,f3f4f1,Triple,ThreeDay,na,73,UAS,0,na,na,na,na,2.363570578,0.351122099
1,0,1,0,1,0,1,0,1,0,1,73,bsouth,f4f3f1,Triple,ThreeDay,na,73,UAS,0,na,na,na,na,2.363570578,0.351122099
1,0,1,0,1,0,1,0,1,0,1,73,bsouth,f4f1f3,Triple,ThreeDay,na,73,UAS,0,na,na,na,na,2.363570578,0.351122099
1,0,1,0,1,0,1,0,1,0,1,327,bnorth,f4f1f3,Triple,ThreeDay,na,327,UAS,0,na,na,na,na,10.36201074,0.194545787
1,0,1,0,1,0,1,0,1,0,1,327,bnorth,f1f4f3,Triple,ThreeDay,na,327,UAS,0,na,na,na,na,10.36201074,0.194545787
1,0,1,0,1,0,1,0,1,0,1,327,bnorth,f3f4f1,Triple,ThreeDay,na,327,UAS,0,na,na,na,na,10.36201074,0.194545787
1,0,1,0,1,0,1,0,1,0,1,327,bnorth,f3f1f4,Triple,ThreeDay,na,327,UAS,0,na,na,na,na,10.36201074,0.194545787
1,0,1,0,1,0,1,0,1,0,1,327,bnorth,f1f3f4,Triple,ThreeDay,na,327,UAS,0,na,na,na,na,10.36201074,0.194545787
1,0,1,0,1,0,1,0,1,0,1,327,bnorth,f4f3f1,Triple,ThreeDay,na,327,UAS,0,na,na,na,na,10.36201074,0.194545787
1,0,1,0,1,0,1,0,1,0,1,848,saddle,f4f3f1,Triple,ThreeDay,na,849,UAS,0.11778563,na,na,na,na,5.510920438,0.821961956
1,0,1,0,1,0,1,0,1,0,1,848,saddle,f4f1f3,Triple,ThreeDay,na,849,UAS,0.11778563,na,na,na,na,5.510920438,0.821961956
0.998834499,0.001165501,0.946780796,0.053112806,0.998822144,0.001177856,1,0,0.999411072,0.000588928,0.998822144,848,saddle,f3f1f4,Triple,ThreeDay,na,849,UAS,0.11778563,na,na,na,na,5.510920438,0.821961956
0.998834499,0.001165501,0.946780796,0.053112806,0.998822144,0.001177856,1,0,0.999411072,0.000588928,0.998822144,848,saddle,f3f4f1,Triple,ThreeDay,na,849,UAS,0.11778563,na,na,na,na,5.510920438,0.821961956
0.998837209,0.001162791,0.955933593,0.043997999,0.998822144,0.001177856,1,0,0.999411072,0.000588928,0.998822144,848,saddle,f1f4f3,Triple,ThreeDay,na,849,UAS,0.11778563,na,na,na,na,5.510920438,0.821961956
0.998837209,0.001162791,0.955933593,0.043997999,0.998822144,0.001177856,1,0,0.999411072,0.000588928,0.998822144,848,saddle,f1f3f4,Triple,ThreeDay,na,849,UAS,0.11778563,na,na,na,na,5.510920438,0.821961956
0.955152162,0.004783592,0.576472488,0.040911979,0.953616786,0.004943426,1,0,0.976808393,0.002471713,0.953616786,1727,bluffn,f1f3f4,Triple,ThreeDay,na,1811,UAS,4.638321369,na,na,na,na,4.311072871,0.974895644
0.955152162,0.004783592,0.576472488,0.040911979,0.953616786,0.004943426,1,0,0.976808393,0.002471713,0.953616786,1727,bluffn,f1f4f3,Triple,ThreeDay,na,1811,UAS,4.638321369,na,na,na,na,4.311072871,0.974895644
0.954153182,0.004858766,0.479313284,0.04709835,0.953090508,0.004968648,1,0,0.976545254,0.002484324,0.953090508,1727,bluffn,f3f4f1,Triple,ThreeDay,na,1811,UAS,4.638321369,na,na,na,na,4.311072871,0.974895644
0.954153182,0.004858766,0.479313284,0.04709835,0.953090508,0.004968648,1,0,0.976545254,0.002484324,0.953090508,1727,bluffn,f3f1f4,Triple,ThreeDay,na,1811,UAS,4.638321369,na,na,na,na,4.311072871,0.974895644
0.952560647,0.004936974,0.469648728,0.046891073,0.952512424,0.004999033,0.954545455,0.031765284,0.953528939,0.016078119,0.907057879,1727,bluffn,f4f1f3,Triple,ThreeDay,na,1811,UAS,4.638321369,na,na,na,na,4.311072871,0.974895644
0.952560647,0.004936974,0.469648728,0.046891073,0.952512424,0.004999033,0.954545455,0.031765284,0.953528939,0.016078119,0.907057879,1727,bluffn,f4f3f1,Triple,ThreeDay,na,1811,UAS,4.638321369,na,na,na,na,4.311072871,0.974895644
0.986193294,0.005187413,0.713489949,0.103032061,0.985943775,0.005280587,1,0,0.992971888,0.002640294,0.985943775,491,bluffs,f1f4f3,Triple,ThreeDay,na,498,UAS,1.40562249,na,na,na,na,6.842224716,0.543934616
0.98630137,0.005147049,0.7811295,0.08016472,0.985943775,0.005280587,1,0,0.992971888,0.002640294,0.985943775,491,bluffs,f3f4f1,Triple,ThreeDay,na,498,UAS,1.40562249,na,na,na,na,6.842224716,0.543934616
0.98630137,0.005147049,0.7811295,0.08016472,0.985943775,0.005280587,1,0,0.992971888,0.002640294,0.985943775,491,bluffs,f3f1f4,Triple,ThreeDay,na,498,UAS,1.40562249,na,na,na,na,6.842224716,0.543934616
0.986247544,0.005167152,0.7519666,0.09019169,0.985943775,0.005280587,1,0,0.992971888,0.002640294,0.985943775,491,bluffs,f4f1f3,Triple,ThreeDay,na,498,UAS,1.40562249,na,na,na,na,6.842224716,0.543934616
0.986247544,0.005167152,0.7519666,0.09019169,0.985943775,0.005280587,1,0,0.992971888,0.002640294,0.985943775,491,bluffs,f4f3f1,Triple,ThreeDay,na,498,UAS,1.40562249,na,na,na,na,6.842224716,0.543934616
0.9861933,0.005187413,0.7134899,0.1030321,0.9859438,0.005280587,1,0,0.9929719,0.002640294,0.9859438,491,bluffs,f1f3f4,Triple,ThreeDay,na,498,UAS,1.40562249,na,na,na,na,6.842224716,0.543934616
na,na,na,na,na,na,na,na,na,na,na,476,afisseast,na,na,na,O,714,ground,33.33333333,789.6671578,11.06020267,na,na,12.42645257,na
na,na,na,na,na,na,na,na,na,na,na,470,afisseast,na,na,na,N,714,ground,34.17366947,789.6671578,11.06020267,na,na,12.42645257,na
na,na,na,na,na,na,na,na,na,na,na,327,afisseast,na,na,na,na,714,groundimage,54.20168067,789.6671578,11.06020267,na,na,12.42645257,na
na,na,na,na,na,na,na,na,na,na,na,529,amushfiss,na,na,na,S,1243,ground,57.44167337,623.1567767,10.09990999,na,na,17.05412975,na
na,na,na,na,na,na,na,na,na,na,na,333,amushfiss,na,na,na,O,1243,ground,73.20997586,623.1567767,10.09990999,na,na,17.05412975,na
na,na,na,na,na,na,na,na,na,na,na,395,amushfiss,na,na,na,na,1243,groundimage,68.22204344,623.1567767,10.09990999,na,na,17.05412975,na
na,na,na,na,na,na,na,na,na,na,na,424,arocksmush,na,na,na,S,666,ground,36.33633634,519.216598,11.93105574,na,na,18.27469731,na
na,na,na,na,na,na,na,na,na,na,na,552,arocksmush,na,na,na,O,666,ground,17.11711712,519.216598,11.93105574,na,na,18.27469731,na
na,na,na,na,na,na,na,na,na,na,na,427,arocksmush,na,na,na,na,666,groundimage,35.88588589,519.216598,11.93105574,na,na,18.27469731,na
na,na,na,na,na,na,na,na,na,na,na,288,d,na,na,na,O,617,ground,53.32252836,598.1255742,8.852857512,na,na,11.38994314,na
na,na,na,na,na,na,na,na,na,na,na,282,d,na,na,na,N,617,ground,54.29497569,598.1255742,8.852857512,na,na,11.38994314,na
na,na,na,na,na,na,na,na,na,na,na,260,d,na,na,na,na,617,groundimage,57.86061588,598.1255742,8.852857512,na,na,11.38994314,na
na,na,na,na,na,na,na,na,na,na,na,856,sslope,na,na,na,O,1018,ground,15.91355599,541.368353,14.7616627,na,na,9.982454326,na
na,na,na,na,na,na,na,na,na,na,na,791,sslope,na,na,na,N,1018,ground,22.29862475,541.368353,14.7616627,na,na,9.982454326,na
na,na,na,na,na,na,na,na,na,na,na,787,sslope,na,na,na,S,1018,ground,22.69155206,541.368353,14.7616627,na,na,9.982454326,na
na,na,na,na,na,na,na,na,na,na,na,830,sslope,na,na,na,na,1018,groundimage,18.4675835,541.368353,14.7616627,na,na,9.982454326,na
na,na,na,na,na,na,na,na,na,na,na,457,bluffs,na,na,na,S,498,ground,8.232931727,125.4224685,29.18505349,na,na,6.842224716,na
na,na,na,na,na,na,na,na,na,na,na,482,bluffs,na,na,na,T,498,ground,3.212851406,125.4224685,29.18505349,na,na,6.842224716,na
na,na,na,na,na,na,na,na,na,na,na,469,bluffs,na,na,na,na,498,groundimage,5.823293173,125.4224685,29.18505349,na,na,6.842224716,na
na,na,na,na,na,na,na,na,na,na,na,1757,bluffn,na,na,na,na,1811,groundimage,2.981778023,150.1073699,21.14575833,na,na,4.311072871,na
na,na,na,na,na,na,na,na,na,na,na,1995,bluffn,na,na,na,N,1811,ground,10.16013252,150.1073699,21.14575833,na,na,4.311072871,na
na,na,na,na,na,na,na,na,na,na,na,1243,bluffn,na,na,na,S,1811,ground,31.36388736,150.1073699,21.14575833,na,na,4.311072871,na
na,na,na,na,na,na,na,na,na,na,na,2672,bluffn,na,na,na,O,1811,ground,47.54279404,150.1073699,21.14575833,na,na,4.311072871,na
na,na,na,na,na,na,na,na,na,na,na,566,c,na,na,na,na,812,groundimage,30.2955665,480.6224203,9.155019856,na,na,9.769142358,na
na,na,na,na,na,na,na,na,na,na,na,533,c,na,na,na,N,812,ground,34.35960591,480.6224203,9.155019856,na,na,9.769142358,na
na,na,na,na,na,na,na,na,na,na,na,560,c,na,na,na,O,812,ground,31.03448276,480.6224203,9.155019856,na,na,9.769142358,na
na,na,na,na,na,na,na,na,na,na,na,461,c,na,na,na,S,812,ground,43.22660099,480.6224203,9.155019856,na,na,9.769142358,na
na,na,na,na,na,na,na,na,na,na,na,481,saddle,na,na,na,na,849,groundimage,43.3451119,261.367471,12.16334889,na,na,5.510920438,na
na,na,na,na,na,na,na,na,na,na,na,493,saddle,na,na,na,N,849,ground,41.93168433,261.367471,12.16334889,na,na,5.510920438,na
na,na,na,na,na,na,na,na,na,na,na,496,saddle,na,na,na,O,849,ground,41.57832744,261.367471,12.16334889,na,na,5.510920438,na
na,na,na,na,na,na,na,na,na,na,na,461,saddle,na,na,na,S,849,ground,45.7008245,261.367471,12.16334889,na,na,5.510920438,na
na,na,na,na,na,na,na,na,na,na,na,226,b,na,na,na,na,400,groundimage,43.5,318.6673407,11.74100602,na,na,7.400962917,na
na,na,na,na,na,na,na,na,na,na,na,235,b,na,na,na,N,400,ground,41.25,318.6673407,11.74100602,na,na,7.400962917,na
na,na,na,na,na,na,na,na,na,na,na,221,b,na,na,na,O,400,ground,44.75,318.6673407,11.74100602,na,na,7.400962917,na
na,na,na,na,na,na,na,na,na,na,na,226,b,na,na,na,S,400,ground,43.5,318.6673407,11.74100602,na,na,7.400962917,na
1,0,1,0,1,0,1,0,1,0,1,666,arocksmush,f1f4f3,Triple,ThreeDay,na,666,UAS,0,na,na,na,na,18.27469731,0.249764788
1,0,1,0,1,0,1,0,1,0,1,666,arocksmush,f1f4f3,Triple,ThreeDay,na,666,UAS,0,na,na,na,na,18.27469731,0.249764788
1,0,1,0,1,0,1,0,1,0,1,666,arocksmush,f3f4f1,Triple,ThreeDay,na,666,UAS,0,na,na,na,na,18.27469731,0.249764788
1,0,1,0,1,0,1,0,1,0,1,666,arocksmush,f3f1f4,Triple,ThreeDay,na,666,UAS,0,na,na,na,na,18.27469731,0.249764788
1,0,1,0,1,0,1,0,1,0,1,666,arocksmush,f4f1f3,Triple,ThreeDay,na,666,UAS,0,na,na,na,na,18.27469731,0.249764788
1,0,1,0,1,0,1,0,1,0,1,666,arocksmush,f4f3f1,Triple,ThreeDay,na,666,UAS,0,na,na,na,na,18.27469731,0.249764788
0.998525074,0.001042545,0.990422985,0.006766666,0.99839099,0.001137284,1,0,0.999195495,0.000568642,0.99839099,1241,amushfiss,f1f3f4,Triple,ThreeDay,na,1243,UAS,0.160901046,na,na,na,na,17.05412975,0.231670453
0.998525074,0.001042545,0.990422985,0.006766666,0.99839099,0.001137284,1,0,0.999195495,0.000568642,0.99839099,1241,amushfiss,f1f4f3,Triple,ThreeDay,na,1243,UAS,0.160901046,na,na,na,na,17.05412975,0.231670453
0.998467433,0.001083273,0.983322044,0.011782416,0.99839099,0.001137284,1,0,0.999195495,0.000568642,0.99839099,1241,amushfiss,f3f4f1,Triple,ThreeDay,na,1243,UAS,0.160901046,na,na,na,na,17.05412975,0.231670453
0.998467433,0.001083273,0.983322044,0.011782416,0.99839099,0.001137284,1,0,0.999195495,0.000568642,0.99839099,1241,amushfiss,f3f1f4,Triple,ThreeDay,na,1243,UAS,0.160901046,na,na,na,na,17.05412975,0.231670453
0.998474447,0.001078317,0.984702272,0.010807608,0.99839099,0.001137284,1,0,0.999195495,0.000568642,0.99839099,1241,amushfiss,f4f1f3,Triple,ThreeDay,na,1243,UAS,0.160901046,na,na,na,na,17.05412975,0.231670453
0.998474447,0.001078317,0.984702272,0.010807608,0.99839099,0.001137284,1,0,0.999195495,0.000568642,0.99839099,1241,amushfiss,f4f3f1,Triple,ThreeDay,na,1243,UAS,0.160901046,na,na,na,na,17.05412975,0.231670453
0.997429306,0.001816585,0.983213222,0.011853107,0.99719888,0.001979302,1,0,0.99859944,0.000989651,0.99719888,712,afisseast,f1f3f4,Triple,ThreeDay,na,714,UAS,0.280112045,na,na,na,na,12.42645257,0.204666815
