UFID,dist,nnid2,Observed,Nesting
F4_375,1.429813299,F4_376,0,1
F4_246,1.430687182,F4_701,1,1
F4_435,1.484806439,F4_437,1,1
F4_521,1.507211287,F4_517,1,1
F4_782,1.510847901,F4_99,1,1
F4_771,1.520508578,F4_772,1,1
F4_820,1.528992575,F4_817,1,1
F4_290,1.531528796,F4_718,1,1
F4_471,1.570740751,F4_477,1,1
F4_120,1.575436617,F4_115,1,1
F4_53,1.593604496,F4_56,1,1
F4_242,1.601609469,F4_246,1,1
F4_344,1.605344027,F4_471,1,1
F4_382,1.612664645,F4_383,1,1
F4_475,1.619409724,F4_597,1,1
F4_413,1.686764372,F4_263,1,1
F4_811,1.845318331,F4_804,1,1
F4_44,1.901041045,F4_769,1,0
F4_188,2.029001166,F4_685,1,0
F4_29,2.148267886,F4_28,1,0
